user_id,recipe_id,date,rating,review,,
596506,38,2008-02-13,5,"Yummy, yummy, yummy! I am a big fan of fruit and yogurt together, and this was a very good mix!",,
1060485,38,2009-01-15,4,very good!! the directions were alittle weird though...,,
1802956262,38,2014-07-22,4,This does taste great! I think the recipe needs a bit less berries and a little bit more yogurt though. The result is still very berry!,,
2123645,38,2014-08-14,4,"Tasty and refreshing! I love the creamy flavor the vanilla yogurt adds. I didn&#039;t put mine in a mold, but instead just served it up like ice cream.",,
393254,39,2007-01-20,3,"I have an Indian friend who made this dish for my family.  This recipe tastes almost like it, but I think some of the proportions for the spices is off.  I definitely think it calls for too much saffron (my rice was too yellow).  I think it should be just a pinch.  I will definitely try it again, but will probably tweak it!",,
59064,40,2002-12-18,5,"My favourite lemonade recipe is essentially the same as this. Allowing the sugar to absorb the lemon oils is what makes it so delicious. The syrup is quite concentrated so a little goes a long way. I usually use the zest of 4 lemons, their juice and 1 cup of boiling water and 1 cup sugar. It's good old fashioned lemonade. Use mineral water to dilute the syrup and you get a great fizzy drink.",,
70154,40,2003-02-01,1,complicated recipe but cool.,,
39949,40,2003-08-13,4,"The taste was excellent, and it really wasn't difficult to make at all.  My stepdaughter and I did this one afternoon, and everything turned out great; the only change we made was to add more hot water to dissolve the sugar; the amount called for was not quite enough.  Very good taste, especially with the lemon zest.  Excellent recipe we'll use often.",,
132353,40,2004-06-02,5,I made this with limes instead of lemosn and it was the best limeade i've ever had! sooo good!,,
172249,40,2004-11-10,4,Really nice lemonade. Used a potato peeler to get the zest off.  No white comes off if you do it in a light pressure zig zag.  After it chilled the children loved the zest sprinkled with more sugar.,,
541967,40,2007-07-20,5,My parents went like wow when they dranked it! :),,
715828,40,2008-01-17,5,FANTASTIC!!! Added some oranges because we didn't have enough lemons. I think I'll be making this for my daughters birthday party!!!,,
1060485,40,2009-01-23,5,This was awesome!! it was REALLY refreashing!,,
851190,40,2010-05-23,5,It was hot the other day and I decided to make some lemonade.  This really quenched our thirst and was awesome!,,
57256,41,2003-04-13,5,I thought this was very GOOD! ANYONE who is afraid of Tofu should try it this way. It gets a great smokey taste from being grilled and the veggies take on a nice sweetness when cooked this way!,,
1060485,41,2009-01-26,4,"This was SOO good! the marinade was awesome!! although i am not a big fan of tofu, it definally had some nice flavor. thanks!",,
1060485,43,2009-02-07,1,did not work.,,
81611,45,2003-09-07,5,"This was my first buttermilk pie (I had never heard of it before 'zaar!) I used a prepackaged graham cracker crust. This was such an easy recipe for such a yummy, comfort-food dessert! I was shocked to see the 2 layers form after baking; I assume that's normal? It all tasted just great, though. Maybe too sweet for some, but not for me!",,
1057076,45,2009-02-11,0,"Hi,I am trying to follow this recipe to make it and it is just confusing to me. Step # 2 says make pie crust, do not bake. Then in Step # 7 after pie has been baked it says Combine graham crumbs, gingersnap crumbs, and margarine in 8 or 9 inch pie pan, pat mixture evenly on bottom and side of pan. Then in step #8 it says .Bake 8 to 10 minutes or until edge of crust is lightly browned. I am totally confused . Tristitia could you reread the recipe , I am totally confused on the crust. 

Thanks",,
1060485,45,2009-02-17,3,flavor was a little bland. but it was easy to cook.,,
32421,48,2002-03-15,0,The flavor was great. But I think there was no need for margarine and oil in the cake batter. There was no instructions on what to do with the margarine. Next time I will try making it without the oil and mix as you would a regular cake batter.,,
68674,48,2004-05-03,2,"I picked this recipe over the other BCP recipes because the filling sounded yummy.  Unfortunatly it doesn't say what to do with the margerine or when to add it...so I put it in with the oil.  For the glaze there is suddenly a mention of confectioners sugar..but none in the ingredients list..so no idea how much was needed. I improvised but it's annoying to have to stop and figure stuff out when you're right in the middle of the whole thing.  The cake itself was quite heavy, but my husband likes a heavy cake, so that was OK and the flavour was good, as was the filling.  ",,
19893,49,2002-06-21,4,"I give this recipe a good to high rating because it just tastes good and is realitivly easy to make.  I used Cream Sherry as I didn't have any Marsala, and it turned out really good. Broiling the cheese is a really good idea, its adds just a little crunch that makes this dish supurb!",,
39835,49,2002-10-07,4,This is an easy-to-make and enjoyable dish. I made a few subsitutions in the recipe--instead of Marsala and chicken broth (which I didn't have)I used canned tomatoes and I used garlic salt instead of regular salt. It was great served with pasta.,,
69551,49,2003-05-18,5,"When I made it I didn't have any wine, so I used a few drops of spiced vinegar and sugar.  Also, as a variation I made it with pork chops, except I substituted the broth with apple juice, water, spiced vinegar, a touch of mustard and cinnamon.  Also, very good.  Both ways, definitely a keeper.",,
198709,49,2005-02-26,4,"This was easy enough to make (though, it took me longer because I could only cook two chicken filets at a time).  Very tasty.  If you use noodles, I would suggest to double (and perhaps triple) the amount of sauce (simmered chicken broth and marsala) at the end because it goes great over the noodles (I also recommend egg noodles for this dish).  Will definitely make again.",,
198344,49,2005-02-28,5,My Guests raved about this dish! I followed the directions exactly and it was wonderful. Served it with steamed asparagus and a green salad (no noodles or carbs of any kind).  My wife said to be sure to keep this recipe as it is now one of her favorite chicken dishes. ,,
365923,49,2007-08-20,5,My family loves this recipe !,,
564813,49,2008-02-21,0,"This dish is out of this world. I used marinaited capatella cheese, provalone, and parmesan. The combination of cheeses was wonderful. I made rosemary buttered noodles asa my side dish along with a nice crusty loaf of bread. YUMMY!!!! Cudos on this recipe Mrs. Q",,
385836,49,2008-04-04,5,This is an excellent dish. I opted to serve it with roasted potatoes instead of noodles. The combination was very delicious and made a nice presentation on the plate!,,
303726,49,2008-09-09,5,Love this dish!  Have made this for friends as well and everyone is always impressed.  Great flavor!,,
969289,49,2008-12-28,0,this is a real keeper. They even went back for seconds. served with salad and noodles with white sauce. Didn't change a thing except extra mushrooms. 5 stars,,
1060485,49,2009-02-18,5,this was SOOO good!! the flavor was awesome! all the flavors blended so well. it would be 6 stars if that was possible.,,
126440,49,2009-04-25,5,DH and I thought this was delicious.  I think next time I would make the entire recipe for the sauce but only use two breasts.  Excellent flavor and easy to do.,,
136828,49,2009-06-04,5,"When I first read through the ingredients, I thought that the quantity of marsala would overwhelm the dish, but, boy, was I wrong!  In spite of its great rich flavor, this recipe is much lighter than I expected. Easy to put together.  I did as one reviewer suggested and made the entire sauce recipe and only two chicken breasts (DH likes lots of sauce), and it was the perfect amount for our taste.  Served over fettucine with roasted asparagus on the side. This recipe's a keeper!!",,
1427914,49,2009-10-27,5,"DH & I really enjoyed this recipe!  I did saute onion, garlic & celery in with the mushrooms and it turned out awesome!  I also, as suggested by others, made the entire sauce recipe and only cooked 2 chicken breasts.  Will be making thisdish again soon.",,
797590,49,2009-11-19,5,"This was YUMMY!  My only changes were 4 chicken breasts(lrg) cut into 4 pieces each and I put the salt on the chicken before I dredged it in the flour.  I didn't have anything but white cooking wine and burgundy.  Did less than called for but upped the chicken broth.  Also didn't have fresh parmesan cheese :( but since I doubled the sauce, the chicken was almost floating.  Sprinkled the pre-grated parmesan and then covered with mozzarella.  Everyone of my family loved this.  Great quick chicken meal.  I will be stocking the staples for the future!",,
851190,49,2010-05-23,5,"We just loved this one!  I cut boneless chicken breasts into pieces, then followed the rest of the recipe.  It came out juicy and we loved the taste!",,
1284154,49,2010-07-12,5,Made this tonight and one word will describe it. AWSOME!  We cut it down for 2 and it was one of the best meals we have had in awhile.,,
178504,49,2013-04-07,5,"This was delicious !  I used 4 chicken breasts (which when cut and pounded made 8 nice pieces) and left all the other ingredient amounts the same.  I subbed fontina for the mozzarella.  The chicken comes out so tender and tasty, and I served it on linguini. My husband rated this as a restaurant-quality meal - thank you for sharing.",,
